path	source	bytes	sha256
ip/Emby.mrs	https://raw.githubusercontent.com/666OS/rules/release/mihomo/ip/Emby.mrs	92	9888497cda18a6afbd337622ed3f0a6422a24497fd62d35b6cb46c4195288a65
ip/Netflix.mrs	https://raw.githubusercontent.com/666OS/rules/release/mihomo/ip/Netflix.mrs	317	d4f46990f4bf2c71e95caf13a25ffcd664a0097676a9b5f4be3fa5aa3fcb5255
ip/Streaming.mrs	https://raw.githubusercontent.com/666OS/rules/release/mihomo/ip/Streaming.mrs	113	a8ce3ed4a4fbe89d06d642365976461986c4956844503a65d404cdeb3bf629b0
ip/Google.mrs	https://raw.githubusercontent.com/666OS/rules/release/mihomo/ip/Google.mrs	8134	577be79905704196ec6a6efdcd38561cffc20913c38efb02b2eca5304f202e84
ip/Facebook.mrs	https://raw.githubusercontent.com/666OS/rules/release/mihomo/ip/Facebook.mrs	545	df81befa3d4062678be93aecb050ec8a9b10ea3091f3d2765acf07212d742ae6
ip/Proxy.mrs	https://raw.githubusercontent.com/666OS/rules/release/mihomo/ip/Proxy.mrs	127	4c3dde4026ab9d277a706d5a2ca7e2eca2c059aef6255ed268f6708c53dad745
ip/China.mrs	https://raw.githubusercontent.com/666OS/rules/release/mihomo/ip/China.mrs	37784	ce1269798a9819d5e3227fcbbe8af232508d7411659a6c0abba6daf3b36bfd16
classical/UK-wifi-call.list	https://raw.githubusercontent.com/HenryChiao/wificalling/refs/heads/main/rules/UK-wifi-call.list	424	d432668f906b3e807d0b636b5883aa9fd6fd7e90131d8b883d5a1cee90c6c1f5
yaml/AWAvenue-Ads-Rule-Clash.yaml	https://raw.githubusercontent.com/TG-Twilight/AWAvenue-Ads-Rule/main/Filters/AWAvenue-Ads-Rule-Clash.yaml	25709	8117528e3a4bb648afd7b8dc33cb256c5cf1be918dcdadc1b65b54311a1504e5
yaml/GitHub.yaml	https://raw.githubusercontent.com/blackmatrix7/ios_rule_script/master/rule/Clash/GitHub/GitHub.yaml	1250	a2641ce2f10857831b600623f97d354e6f8db7b20dff175c5313c2c46e0b6867
fakeip/fakeip-filter.mrs	https://github.com/DustinWin/ruleset_geodata/releases/download/mihomo-ruleset/fakeip-filter.mrs	1074	1499646829c716a7fd5fb2714f16ba12045d30e7258f0f6a169bb97c32fecc80
ip/ChinaIP.mrs	https://raw.githubusercontent.com/666OS/rules/release/mihomo/ip/China.mrs	37784	ce1269798a9819d5e3227fcbbe8af232508d7411659a6c0abba6daf3b36bfd16
